,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
0,CHEMBL526110,0.3,nM,O=[N+]([O-])c1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,9.522878745,333.09742259200004,8,1,2.8381000000000007,True
1,CHEMBL317703,0.33,nM,NS(=O)(=O)c1ccc(Nc2cc(-c3ccc([N+](=O)[O-])cc3)[nH]n2)cc1,9.48148606,359.0688248960001,6,3,2.3759000000000006,True
2,CHEMBL321517,0.34,nM,Nc1ccc(-c2cc(Nc3ccc(S(N)(=O)=O)cc3)[nH]n2)cc1,9.468521083,329.0946457200001,5,4,2.0499,True
3,CHEMBL476577,0.5,nM,CC(=O)NC1CN(c2ccc(Nc3ncc(F)c(-c4cnc(C)n4C(C)C)n3)cc2)C1,9.301029996,423.2182866720001,7,2,3.4368200000000018,True
4,CHEMBL1964259,0.54,nM,O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc(S(=O)(=O)NCCOCCO)cc1,9.26760624,460.0875117399999,8,4,1.9886000000000004,True
5,CHEMBL4088242,0.8,nM,CC[C@@H](C)Oc1nc(Nc2ccc(S(N)(=O)=O)cc2)nc(N)c1C=O,9.096910013,365.1157750880001,8,3,1.4396000000000002,True
6,CHEMBL478409,1.0,nM,COCCNS(=O)(=O)c1ccc(Nc2nccc(-c3cnc(C)n3C(C)C)n2)cc1,9.0,430.1787096920001,8,2,2.8977200000000005,True
7,CHEMBL559513,1.0,nM,CN1CCN(c2cccc(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CC4)c2)CC1,9.0,418.222957452,8,2,1.5699999999999996,True
8,CHEMBL4292930,1.0,nM,Cc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@@H]3CCO)nc12,9.0,382.211724072,7,2,2.0245200000000003,True
9,CHEMBL5171657,1.0,nM,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(C3CCCC[C@H]3CCO)nc12,9.0,395.23212516800004,6,2,3.193400000000002,True
10,CHEMBL1171950,1.0,nM,NCCCn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3)ncc1CC2,9.0,363.180758292,7,3,1.6299999999999992,True
11,CHEMBL2103840,1.0,nM,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12,9.0,396.227374136,7,2,2.2785000000000006,True
12,CHEMBL5266005,1.0,nM,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@@H]3CCO)nc12,9.0,396.227374136,7,2,2.2785000000000006,True
13,CHEMBL1964249,1.0,nM,COCCOCCOCCOCCN(C)S(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3ccc4ncsc4c32)cc1,9.0,576.171241364,10,2,3.0181000000000013,True
14,CHEMBL509406,1.0,nM,Cc1ncc(-c2nc(Nc3ccc(C(=O)NC4CCN(C)CC4)c(F)c3)ncc2F)n1C(C)C,9.0,469.24016498800006,7,2,4.075220000000003,True
